code,WHERE1_프로젝트,WHERE2_동,WHERE3_층,HOW1_공사,HOW2_대공종,HOW3_작업명,HOW4_품명,HOW5_규격,HOW6_세부작업명,WHEN1_시작일,WHEN2종료일,WHEN3_기간(일),WHO1_하도급업체,R1_단위,R2_수량,R3_재료비_단가,R4_노무비_단가,R5_경비_단가,R6_합계_단가,R7_재료비_금액,R8_노무비_금액,R9_경비_금액,R10_합계_금액
인천_00001,인천소방학교,00_공통,,A_건축공사,,준비작업,,,작업준비기간,2025-06-02,2025-06-30,28,금빛건설㈜,,,,,,,,,,
인천_00002,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,가설울타리설치및 해체,"EGI휀스,지주높이 3.5m이하",가설울타리설치및 해체,2025-06-02,2025-06-30,28,금빛건설㈜,m,990.0,0.0,0.0,22749.0,22749.0,0.0,0.0,22521510.0,22521510.0
인천_00003,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,"조립식가설사무소/감리, 감독자","25개월, 렌탈","조립식가설사무소/감리, 감독자",2025-06-02,2025-06-30,28,금빛건설㈜,M2,180.0,0.0,0.0,124888.0,124888.0,0.0,0.0,22479840.0,22479840.0
인천_00004,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,컨테이너가설창고,"25개월, 렌탈, 3.0*6.0m",컨테이너가설창고,2025-06-02,2025-06-30,28,금빛건설㈜,동,2.0,0.0,0.0,1353144.0,1353144.0,0.0,0.0,2706288.0,2706288.0
인천_00005,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,컨테이너가설실험실,"25개월, 렌탈, 3.0*6.0m",컨테이너가설실험실,2025-06-02,2025-06-30,28,금빛건설㈜,동,3.0,0.0,0.0,1228144.0,1228144.0,0.0,0.0,3684432.0,3684432.0
인천_00006,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,폐기물보관소,"25개월, 렌탈",폐기물보관소,2025-06-02,2025-06-30,28,금빛건설㈜,M2,27.0,0.0,0.0,101893.0,101893.0,0.0,0.0,2751111.0,2751111.0
인천_00007,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,가설게이트,"홀딩도어 L=12m, H=8m",가설게이트,2025-06-02,2025-06-30,28,금빛건설㈜,EA,1.0,0.0,0.0,1679950.0,1679950.0,0.0,0.0,1679950.0,1679950.0
인천_00008,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,이동식 타워크레인손료 - 월,54m*50ton,이동식 타워크레인손료 - 월,2025-09-15,2025-10-15,30,금빛건설㈜,MTH,12.0,0.0,0.0,19978200.0,19978200.0,0.0,0.0,239738400.0,239738400.0
인천_00009,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,가설전기인입비,,가설전기인입비,2025-06-02,2025-06-30,28,금빛건설㈜,식,1.0,0.0,0.0,64549823.0,64549823.0,0.0,0.0,64549823.0,64549823.0
인천_00010,인천소방학교,01_본관동,,A_건축공사,A01_공통가설공사,본관동 공통가설공사,가설용수비,,가설용수비,2025-06-02,2025-06-30,28,금빛건설㈜,식,1.0,0.0,0.0,14196871.0,14196871.0,0.0,0.0,14196871.0,14196871.0
